metric,value
input_mode,internal
flits_requested,3000
requests_delivered,3000
responses_generated,3000
delivered_flits,3000
fdi_backpressure_events,0
completed_payload_bytes,708000
flit_bytes,256
payload_bytes,236
flit_efficiency,0.921875
memory_delay_ui,32
num_lanes,16
lane_rate_gtps,48
modulation,pam4
serialize_ui,64
active_ns,4008.02
throughput_gbps,1413.17
capacity_gbps,1536
bandwidth_utilization,0.920031
avg_latency_ns,6.51428
p50_latency_ns,6.74989
p95_latency_ns,9.41652
p99_latency_ns,9.41652
forward_avg_latency_ns,3.73313
forward_p95_latency_ns,4.37493
forward_p99_latency_ns,4.37493
reverse_avg_latency_ns,2.11449
reverse_p95_latency_ns,4.37493
reverse_p99_latency_ns,4.37493
forward_tx_new_flits,3000
reverse_tx_new_flits,3000
forward_tx_replay_flits,2
reverse_tx_replay_flits,2
forward_ack_count,3000
reverse_ack_count,2999
forward_nak_count,1
reverse_nak_count,1
forward_crc_fail_count,1
reverse_crc_fail_count,1
forward_integrity_errors,0
reverse_integrity_errors,0
tx_new_flits,6000
tx_replay_flits,4
ack_count,5999
nak_count,2
stale_nak_count,0
replay_timeout_events,0
crc_fail_count,2
seq_fail_count,2
duplicate_drop_count,0
max_retry_buffer_occupancy,2
retry_buffer_full_events,0
total_phy_frames,6004
symbol_error_rate,3.25304e-07
bit_error_rate,1.62652e-07
observed_flit_fail_rate,0.000666223
deskew_failures,0
extra_error_flits,0
cdr_lock_loss_count,0
integrity_errors,0
watchdog_fired,0
link_state,active
