metric,value
input_mode,internal
flits_requested,3000
requests_delivered,3000
responses_generated,3000
delivered_flits,3000
fdi_backpressure_events,607
completed_payload_bytes,708000
flit_bytes,256
payload_bytes,236
flit_efficiency,0.921875
memory_delay_ui,32
num_lanes,16
lane_rate_gtps,24
modulation,pam4
serialize_ui,64
active_ns,8229.57
throughput_gbps,688.25
capacity_gbps,768
bandwidth_utilization,0.896159
avg_latency_ns,122.175
p50_latency_ns,125.501
p95_latency_ns,200.168
p99_latency_ns,205.502
forward_avg_latency_ns,108.098
forward_p95_latency_ns,179.418
forward_p99_latency_ns,184.751
reverse_avg_latency_ns,12.7429
reverse_p95_latency_ns,24.7502
reverse_p99_latency_ns,24.7502
forward_tx_new_flits,3000
reverse_tx_new_flits,3000
forward_tx_replay_flits,76
reverse_tx_replay_flits,68
forward_ack_count,3000
reverse_ack_count,2999
forward_nak_count,38
reverse_nak_count,34
forward_crc_fail_count,38
reverse_crc_fail_count,34
forward_integrity_errors,0
reverse_integrity_errors,0
tx_new_flits,6000
tx_replay_flits,144
ack_count,5999
nak_count,72
stale_nak_count,0
replay_timeout_events,0
crc_fail_count,72
seq_fail_count,72
duplicate_drop_count,0
max_retry_buffer_occupancy,2
retry_buffer_full_events,0
total_phy_frames,6144
symbol_error_rate,1.1603e-05
bit_error_rate,5.80152e-06
observed_flit_fail_rate,0.0234375
deskew_failures,0
extra_error_flits,0
cdr_lock_loss_count,0
integrity_errors,0
watchdog_fired,0
link_state,active
